family,params,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,mean_mae
naive,"{""window_days"": 30}",-0.26895972803537055,0.01849017165606528,1,-0.26671087449627684,-0.24752231389762613,-0.29264599571220856,0.26895972803537055
naive,"{""window_days"": 90}",-0.27509101523070945,0.014291701198182636,2,-0.28069769090086244,-0.25547093051478564,-0.2891044242764803,0.27509101523070945
naive,"{""window_days"": 365}",-0.2876679096330949,0.014883142841892386,3,-0.2852523034436854,-0.270768102550542,-0.30698332290505725,0.2876679096330949
isotonic,"{""wind_column"": ""wind_speed_10m""}",-0.217640268476659,0.008486640700094682,2,-0.2186003511582676,-0.22752088765978423,-0.20679956661192517,0.217640268476659
isotonic,"{""wind_column"": ""wind_speed_100m""}",-0.18352387490218583,0.009950754487456965,1,-0.18582991214072206,-0.19439324857793666,-0.1703484639878988,0.18352387490218583
ridge,"{""model__alpha"": 0.1}",-0.17257748235633694,0.005881899739019103,3,-0.17161736400638228,-0.18021322084046232,-0.16590186222216619,0.17257748235633694
ridge,"{""model__alpha"": 10.0}",-0.17004072546938195,0.00611546697887699,2,-0.167538923009703,-0.17846129495473786,-0.16412195844370492,0.17004072546938195
ridge,"{""model__alpha"": 100.0}",-0.1689925327461684,0.0062966529955890875,1,-0.16619598217207604,-0.17771243606837173,-0.1630691799980574,0.1689925327461684
elastic_net,"{""model__alpha"": 0.001, ""model__l1_ratio"": 0.2}",-0.16879385063408758,0.006214173090005331,3,-0.16597148362168224,-0.1774126415189066,-0.162997426761674,0.16879385063408758
elastic_net,"{""model__alpha"": 0.001, ""model__l1_ratio"": 0.7}",-0.1685501333159453,0.0058671193923915625,1,-0.16567447910709593,-0.1767283309294897,-0.16324758991125024,0.1685501333159453
elastic_net,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.2}",-0.16857363894729663,0.005118669585675235,2,-0.16570089406805166,-0.1757642854623394,-0.16425573731149887,0.16857363894729663
elastic_net,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.7}",-0.17000155761410576,0.004614551180547126,4,-0.16813824647156225,-0.17634959367297146,-0.1655168326977836,0.17000155761410576
random_forest,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 10}",-0.17619632664141216,0.014735035530770442,3,-0.19196906088704727,-0.1801039219126345,-0.15651599712455466,0.17619632664141216
random_forest,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 30}",-0.17542344593926962,0.01416055071665083,1,-0.1901374769034112,-0.1798309858881521,-0.15630187502624554,0.17542344593926962
random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 10}",-0.1776436210388408,0.015297821122548497,4,-0.1934133350386915,-0.18258538038612182,-0.1569321476917091,0.1776436210388408
random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 30}",-0.1755579487308042,0.014082638472017118,2,-0.18944951333040672,-0.18097134861396338,-0.15625298424804246,0.1755579487308042
extra_trees,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 10}",-0.17327964775508464,0.010340971638213035,1,-0.18165133719069204,-0.1794783903487148,-0.158709215725847,0.17327964775508464
extra_trees,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 30}",-0.17350795443886116,0.010120896243819144,2,-0.1815606838852799,-0.17972922224781818,-0.15923395718348546,0.17350795443886116
extra_trees,"{""model__max_depth"": null, ""model__min_samples_leaf"": 10}",-0.17368191389245288,0.010777532825683165,4,-0.18284487355381074,-0.17964855941162935,-0.15855230871191844,0.17368191389245288
extra_trees,"{""model__max_depth"": null, ""model__min_samples_leaf"": 30}",-0.1736623400278984,0.010947991053692048,3,-0.1825936611312179,-0.1801493681726105,-0.1582439907798668,0.1736623400278984
hist_gradient_boosting,"{""model__l2_regularization"": 1.0, ""model__max_leaf_nodes"": 15}",-0.17184367161481937,0.013381886775485382,1,-0.1836622437059058,-0.17873490726972682,-0.15313386386882538,0.17184367161481937
hist_gradient_boosting,"{""model__l2_regularization"": 1.0, ""model__max_leaf_nodes"": 31}",-0.17525508544718207,0.01807676492380613,4,-0.1892213274003297,-0.18681548650514707,-0.14972844243606948,0.17525508544718207
hist_gradient_boosting,"{""model__l2_regularization"": 10.0, ""model__max_leaf_nodes"": 15}",-0.1732455881573989,0.014794656027138997,2,-0.18588245316018967,-0.18136858919350152,-0.15248572211850553,0.1732455881573989
hist_gradient_boosting,"{""model__l2_regularization"": 10.0, ""model__max_leaf_nodes"": 31}",-0.1751120081918923,0.018248050630828027,3,-0.18925354170659606,-0.18673615518473666,-0.14934632768434414,0.1751120081918923
catboost,"{""model__depth"": 4, ""model__l2_leaf_reg"": 10}",-0.15596633333243573,0.009374773066403705,1,-0.15807998504213275,-0.16624436135434378,-0.14357465360083063,0.15596633333243573
catboost,"{""model__depth"": 4, ""model__l2_leaf_reg"": 30}",-0.15619793897717746,0.01010886552836921,2,-0.1591140448639758,-0.16686036408741595,-0.14261940798014064,0.15619793897717746
catboost,"{""model__depth"": 6, ""model__l2_leaf_reg"": 10}",-0.1575352193695768,0.011039859485890247,4,-0.15998901121241474,-0.16966129785075132,-0.14295534904556428,0.1575352193695768
catboost,"{""model__depth"": 6, ""model__l2_leaf_reg"": 30}",-0.15692701553146993,0.010628182743453564,3,-0.16056377565566085,-0.16773867444364876,-0.1424785964951002,0.15692701553146993
mlp,"{""model__alpha"": 0.001, ""model__hidden_layer_sizes"": [32]}",-0.17573422742891798,0.006140594760276059,2,-0.17983813564536605,-0.18031015450762855,-0.16705439213375928,0.17573422742891798
mlp,"{""model__alpha"": 0.001, ""model__hidden_layer_sizes"": [64, 32]}",-0.1843625279535015,0.012725931399337915,3,-0.1839430158235772,-0.20015406832420404,-0.1689904997127233,0.1843625279535015
mlp,"{""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [32]}",-0.17424472372160163,0.0062449815792110204,1,-0.1795703026316572,-0.17768343812559137,-0.1654804304075563,0.17424472372160163
mlp,"{""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [64, 32]}",-0.1854717622135614,0.015145312545122327,4,-0.18548089991542593,-0.20401633553985563,-0.16691805118540262,0.1854717622135614
